brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date,price_m2
Compass,lista para construir,1307290,1,1,0.46,Calle Alcalá 89,Valencia,Extremadura,35714,422,2024-09-14,3097.8436018957345
Keller Williams,lista para construir,487443,2,2,1.26,Calle Mayor 190,Córdoba,Extremadura,24247,193,2023-11-05,2525.6113989637306
Realty One,lista para construir,528196,4,3,1.55,Calle Gran Vía 163,Sevilla,Baleares,52095,113,2023-10-18,4674.300884955752
eXp Realty,lista para construir,1312141,2,3,1.59,Calle Mayor 122,Bilbao,Castilla y León,67182,384,2023-06-18,3417.0338541666665
Compass,lista para la venta,1348272,1,2,0.86,Calle Mayor 176,Bilbao,Castilla-La Mancha,21239,417,2023-11-19,3233.26618705036
eXp Realty,lista para construir,744224,1,1,0.47,Calle Mayor 97,Alicante,Castilla-La Mancha,69415,353,2024-04-29,2108.28328611898
Sotheby's,lista para la venta,832191,1,2,1.7,Avenida Diagonal 101,Vigo,Baleares,68094,356,2025-01-16,2337.6151685393256
RE/MAX,lista para la venta,370234,3,3,0.79,Calle Mayor 146,Valladolid,País Vasco,42431,107,2023-07-22,3460.1308411214955
Realty One,lista para la venta,1561020,1,1,1.41,Calle Serrano 156,Madrid,Andalucía,55550,333,2024-03-17,4687.747747747748
Berkshire Hathaway,lista para construir,829491,4,4,1.58,Plaza España 55,Murcia,Madrid,41261,298,2024-08-15,2783.526845637584
Sotheby's,lista para la venta,368302,1,1,0.32,Paseo de la Castellana 68,Barcelona,Asturias,53140,79,2023-10-15,4662.050632911392
Sotheby's,lista para la venta,723746,5,1,1.16,Calle Alcalá 23,Palma,Aragón,85996,282,2024-10-01,2566.4751773049647
Century 21,lista para la venta,990726,2,2,0.53,Calle Alcalá 199,Valladolid,Canarias,82232,410,2024-05-12,2416.4048780487806
Keller Williams,lista para construir,666136,6,4,1.79,Avenida Diagonal 123,Vigo,Madrid,10230,160,2023-11-19,4163.35
Realty One,lista para la venta,1045820,6,4,1.76,Plaza del Sol 20,Sevilla,Castilla y León,54773,350,2024-09-02,2988.057142857143
Keller Williams,lista para la venta,375617,3,1,0.65,Paseo de la Castellana 17,Barcelona,Madrid,44358,52,2023-06-04,7223.403846153846
RE/MAX,lista para la venta,1539688,4,1,0.29,Calle Gran Vía 160,Valencia,Aragón,91866,490,2024-11-08,3142.2204081632653
Berkshire Hathaway,lista para la venta,1271580,1,2,1.64,Ronda de Valencia 126,Valencia,Baleares,46417,424,2024-11-21,2999.009433962264
Keller Williams,lista para la venta,911002,1,1,1.75,Plaza del Sol 75,Valladolid,Valencia,67168,393,2023-08-14,2318.0712468193383
Keller Williams,lista para la venta,1047626,2,3,0.77,Ronda de Valencia 10,Gijón,Castilla-La Mancha,55575,443,2024-03-25,2364.844243792325
Sotheby's,lista para construir,402992,3,2,1.75,Plaza España 85,Valencia,País Vasco,29675,69,2023-10-02,5840.463768115942
Compass,lista para la venta,659641,1,1,1.71,Avenida de la Constitución 39,Gijón,Asturias,43384,254,2025-04-02,2597.011811023622
Compass,lista para la venta,827951,2,1,1.21,Calle Alcalá 148,Bilbao,Madrid,96165,229,2024-05-29,3615.5065502183406
Coldwell Banker,lista para construir,379316,1,1,1.28,Calle Mayor 45,Sevilla,Castilla-La Mancha,10943,106,2023-07-06,3578.4528301886794
Keller Williams,lista para la venta,784136,5,4,0.91,Paseo de la Castellana 3,Bilbao,Andalucía,43692,173,2023-11-22,4532.578034682081
eXp Realty,lista para construir,1411359,3,2,0.9,Calle Gran Vía 143,Bilbao,Murcia,88342,382,2025-01-15,3694.6570680628274
Sotheby's,lista para construir,1062851,6,4,1.0,Calle Serrano 77,Vigo,Extremadura,42180,413,2024-04-15,2573.4891041162227
Compass,lista para construir,627802,1,2,0.79,Ronda de Valencia 55,Sevilla,Asturias,37267,251,2024-12-13,2501.203187250996
RE/MAX,lista para construir,280222,1,1,1.37,Calle Mayor 189,Madrid,Galicia,30334,50,2024-09-10,5604.44
Coldwell Banker,lista para construir,592491,6,2,1.53,Avenida de la Constitución 176,Zaragoza,Cataluña,68744,161,2025-04-23,3680.0683229813662
Sotheby's,lista para construir,557286,6,1,1.37,Calle Serrano 136,Palma,Navarra,25601,201,2024-07-22,2772.5671641791046
Berkshire Hathaway,lista para la venta,772601,5,3,1.9,Plaza España 100,Gijón,Extremadura,21345,267,2025-03-27,2893.63670411985
Sotheby's,lista para la venta,403690,1,1,0.24,Calle Serrano 53,Córdoba,Castilla-La Mancha,95164,160,2025-02-14,2523.0625
Berkshire Hathaway,lista para construir,1031178,3,1,1.08,Calle Serrano 169,Vigo,Cataluña,97153,428,2024-08-03,2409.2943925233644
Coldwell Banker,lista para construir,931053,3,3,1.04,Avenida Diagonal 189,Córdoba,Castilla-La Mancha,75622,389,2024-10-17,2393.452442159383
eXp Realty,lista para la venta,1122895,5,1,1.37,Calle Serrano 42,Palma,Baleares,10633,434,2024-05-19,2587.3156682027648
Compass,lista para construir,455447,2,3,0.68,Calle Gran Vía 59,Madrid,Galicia,19456,80,2025-01-03,5693.0875
Keller Williams,lista para construir,1127608,6,3,1.58,Calle Gran Vía 160,Madrid,Canarias,97331,188,2024-06-19,5997.914893617021
RE/MAX,lista para construir,702319,5,3,1.27,Avenida de la Constitución 87,Palma,Castilla y León,21108,220,2025-02-18,3192.359090909091
Century 21,lista para la venta,485548,6,1,0.5,Ronda de Valencia 106,Valladolid,Murcia,68629,116,2024-11-03,4185.758620689655
Realty One,lista para la venta,1111016,6,2,0.19,Calle Serrano 121,Bilbao,Andalucía,23174,305,2024-04-28,3642.6754098360657
RE/MAX,lista para construir,791425,1,1,0.2,Plaza España 68,Valladolid,Andalucía,59423,325,2023-11-29,2435.153846153846
RE/MAX,lista para la venta,546043,4,1,0.94,Avenida Diagonal 2,Vigo,Asturias,17378,215,2023-11-21,2539.73488372093
Realty One,lista para construir,593325,5,4,0.57,Plaza España 171,Murcia,Asturias,92012,206,2024-08-21,2880.2184466019417
Century 21,lista para construir,1091165,2,3,0.16,Avenida de la Constitución 139,Alicante,Valencia,63740,473,2024-11-18,2306.902748414376
Keller Williams,lista para construir,740449,4,4,1.11,Calle Gran Vía 108,Alicante,País Vasco,43087,272,2024-05-31,2722.238970588235
Berkshire Hathaway,lista para la venta,583614,1,1,0.49,Plaza del Sol 176,Gijón,Cataluña,22986,285,2024-08-13,2047.7684210526315
RE/MAX,lista para construir,920882,5,1,0.89,Plaza España 114,Las Palmas,Asturias,81909,342,2023-12-10,2692.6374269005846
Berkshire Hathaway,lista para construir,1174023,4,1,1.04,Ronda de Valencia 150,Madrid,Navarra,61064,231,2023-07-25,5082.350649350649
RE/MAX,lista para la venta,1022357,4,1,0.26,Calle Mayor 191,Sevilla,Cataluña,28763,422,2023-12-18,2422.6469194312795
eXp Realty,lista para la venta,2264967,4,4,1.04,Avenida de la Constitución 10,Madrid,Asturias,44345,453,2023-12-08,4999.92715231788
Compass,lista para construir,318618,1,2,0.13,Calle Serrano 15,Córdoba,País Vasco,33417,109,2024-01-11,2923.1009174311926
eXp Realty,lista para construir,743237,2,3,0.54,Ronda de Valencia 89,Sevilla,Murcia,80956,279,2024-06-13,2663.9318996415773
Coldwell Banker,lista para construir,1262433,3,3,1.13,Ronda de Valencia 96,Málaga,Madrid,23575,392,2023-09-06,3220.4923469387754
Sotheby's,lista para la venta,977778,4,1,1.98,Calle Gran Vía 84,Bilbao,Cataluña,77883,241,2023-11-10,4057.170124481328
Sotheby's,lista para la venta,1269500,3,2,1.73,Paseo de la Castellana 114,Sevilla,Castilla y León,19820,482,2024-09-29,2633.817427385892
RE/MAX,lista para la venta,830705,4,4,1.83,Calle Serrano 197,Madrid,Madrid,90995,113,2024-10-08,7351.371681415929
Realty One,lista para la venta,639648,5,2,1.06,Plaza del Sol 129,Bilbao,Navarra,44584,148,2023-07-16,4321.945945945946
Coldwell Banker,lista para la venta,1141512,4,1,1.02,Paseo de la Castellana 185,Bilbao,País Vasco,67664,318,2024-03-12,3589.6603773584907
eXp Realty,lista para construir,1989223,4,4,0.78,Avenida Diagonal 135,Barcelona,Andalucía,15264,417,2024-06-15,4770.318944844124
Century 21,lista para construir,1147041,1,1,1.12,Calle Mayor 174,Alicante,Navarra,88642,486,2024-03-18,2360.1666666666665
Compass,lista para la venta,1135915,6,4,0.64,Ronda de Valencia 110,Vigo,Andalucía,25920,448,2023-10-23,2535.5245535714284
Realty One,lista para la venta,1093595,4,4,1.48,Plaza del Sol 159,Alicante,Canarias,94640,414,2024-03-21,2641.5338164251207
RE/MAX,lista para la venta,1062132,3,2,0.69,Calle Gran Vía 105,Valladolid,Galicia,54908,433,2025-02-24,2452.960739030023
Berkshire Hathaway,lista para la venta,677252,4,3,1.64,Calle Alcalá 70,Valladolid,Madrid,81851,196,2024-07-14,3455.3673469387754
RE/MAX,lista para construir,992364,3,2,1.74,Calle Gran Vía 194,Barcelona,Navarra,53569,193,2024-09-30,5141.782383419689
Coldwell Banker,lista para la venta,818818,5,2,0.65,Calle Alcalá 136,Zaragoza,Galicia,37775,318,2025-01-21,2574.8993710691825
Compass,lista para construir,309405,4,4,0.17,Plaza España 107,Murcia,Galicia,45828,90,2024-11-18,3437.8333333333335
Berkshire Hathaway,lista para construir,1102658,5,1,1.33,Plaza del Sol 33,Palma,Murcia,96372,456,2024-02-22,2418.1096491228072
Keller Williams,lista para la venta,993705,3,2,0.52,Calle Mayor 31,Córdoba,Baleares,47215,418,2023-06-05,2377.284688995215
RE/MAX,lista para construir,593491,4,2,0.93,Calle Serrano 137,Barcelona,Navarra,57446,96,2024-02-02,6182.197916666667
RE/MAX,lista para construir,964882,5,3,0.74,Ronda de Valencia 44,Málaga,Valencia,79173,320,2024-11-10,3015.25625
Compass,lista para construir,1199973,5,1,1.2,Calle Mayor 92,Bilbao,Aragón,99273,329,2025-01-19,3647.334346504559
Realty One,lista para la venta,683367,2,1,1.93,Avenida de la Constitución 180,Vigo,Canarias,49142,250,2025-03-30,2733.468
Sotheby's,lista para construir,559300,4,3,1.89,Calle Alcalá 27,Córdoba,País Vasco,28033,134,2024-03-20,4173.880597014925
Realty One,lista para la venta,334183,2,3,1.55,Ronda de Valencia 77,Vigo,Cataluña,65077,79,2024-11-06,4230.164556962025
eXp Realty,lista para construir,377437,5,2,1.19,Paseo de la Castellana 14,Córdoba,Navarra,49074,92,2024-06-17,4102.576086956522
Coldwell Banker,lista para construir,555182,4,3,1.03,Calle Alcalá 5,Sevilla,Canarias,33045,158,2024-07-27,3513.8101265822784
Coldwell Banker,lista para construir,600695,5,2,0.63,Paseo de la Castellana 177,Zaragoza,Castilla y León,83326,239,2023-11-02,2513.36820083682
Coldwell Banker,lista para la venta,512479,3,1,0.31,Plaza del Sol 18,Las Palmas,Murcia,39115,181,2023-11-01,2831.3756906077347
RE/MAX,lista para construir,1268153,6,3,0.86,Calle Gran Vía 182,Madrid,Murcia,29590,244,2024-04-01,5197.348360655737
Sotheby's,lista para la venta,1030532,6,1,1.38,Avenida de la Constitución 32,Córdoba,Andalucía,79768,398,2023-06-21,2589.2763819095476
eXp Realty,lista para construir,737312,6,1,0.48,Avenida Diagonal 107,Palma,Cataluña,60496,300,2024-01-22,2457.7066666666665
Sotheby's,lista para construir,648888,2,2,1.88,Plaza España 129,Alicante,Asturias,81965,245,2024-09-19,2648.522448979592
Coldwell Banker,lista para construir,558942,3,3,1.52,Calle Mayor 80,Vigo,Valencia,24643,165,2024-03-10,3387.5272727272727
Sotheby's,lista para la venta,1142258,2,2,1.06,Plaza España 196,Las Palmas,Extremadura,15638,474,2023-09-24,2409.8270042194094
Keller Williams,lista para la venta,774310,4,1,0.14,Calle Alcalá 11,Sevilla,Baleares,81587,286,2024-04-23,2707.377622377622
Compass,lista para construir,538969,5,3,0.48,Plaza del Sol 104,Zaragoza,Asturias,38104,197,2023-08-29,2735.8832487309646
eXp Realty,lista para construir,1107809,5,1,0.32,Calle Alcalá 109,Bilbao,Cataluña,41543,331,2024-08-10,3346.85498489426
Coldwell Banker,lista para la venta,897011,6,4,1.62,Calle Serrano 19,Palma,Asturias,95901,335,2023-06-19,2677.644776119403
Compass,lista para la venta,1099113,1,2,1.71,Ronda de Valencia 142,Zaragoza,Madrid,53605,434,2024-03-03,2532.5184331797236
RE/MAX,lista para construir,670830,4,1,1.09,Calle Serrano 154,Málaga,Madrid,59591,180,2024-06-30,3726.8333333333335
eXp Realty,lista para construir,985582,3,2,1.9,Calle Serrano 196,Sevilla,Canarias,59751,362,2023-06-19,2722.6022099447514
Realty One,lista para construir,1544555,1,2,1.63,Ronda de Valencia 46,Madrid,Extremadura,44368,299,2024-08-24,5165.735785953178
Sotheby's,lista para construir,433149,6,1,0.67,Plaza del Sol 164,Alicante,Madrid,18578,97,2023-09-04,4465.453608247422
Century 21,lista para construir,700995,3,3,1.38,Calle Mayor 73,Barcelona,Andalucía,52054,133,2024-04-19,5270.639097744361
Coldwell Banker,lista para construir,1549335,6,1,0.43,Plaza España 149,Valencia,Andalucía,30533,493,2023-07-06,3142.6673427991886
Sotheby's,lista para construir,937354,3,2,0.66,Plaza España 146,Gijón,Castilla-La Mancha,85070,404,2024-02-21,2320.1831683168316
RE/MAX,lista para la venta,523662,3,1,1.35,Avenida Diagonal 4,Palma,Baleares,64107,181,2023-10-27,2893.160220994475
Keller Williams,lista para la venta,320473,4,3,0.26,Calle Gran Vía 127,Las Palmas,Andalucía,42890,84,2024-01-16,3815.154761904762
RE/MAX,lista para construir,952648,4,3,1.93,Paseo de la Castellana 168,Las Palmas,Cataluña,19487,343,2024-11-15,2777.399416909621
eXp Realty,lista para construir,504191,4,2,0.43,Plaza España 197,Sevilla,Aragón,84641,174,2024-02-21,2897.6494252873563
Berkshire Hathaway,lista para construir,514466,5,3,1.67,Paseo de la Castellana 6,Valencia,Asturias,36092,116,2024-11-09,4435.051724137931
Keller Williams,lista para construir,1201592,1,2,1.29,Avenida Diagonal 172,Valencia,Valencia,90526,358,2025-01-04,3356.4022346368715
Realty One,lista para la venta,497929,6,2,0.91,Plaza España 129,Vigo,Castilla y León,55467,160,2023-11-24,3112.05625
Coldwell Banker,lista para la venta,759712,5,1,0.52,Calle Alcalá 120,Gijón,Aragón,15244,322,2023-07-28,2359.354037267081
Century 21,lista para construir,1445622,6,1,1.37,Calle Gran Vía 186,Málaga,País Vasco,32624,495,2023-06-14,2920.448484848485
Berkshire Hathaway,lista para construir,635659,4,2,0.97,Calle Serrano 121,Valencia,Castilla-La Mancha,34149,167,2024-06-13,3806.3413173652693
Century 21,lista para construir,619965,1,1,1.25,Avenida de la Constitución 141,Murcia,Aragón,11081,227,2025-05-01,2731.123348017621
Sotheby's,lista para construir,372171,5,4,0.58,Calle Gran Vía 131,Vigo,Canarias,71937,112,2024-02-01,3322.9553571428573
Compass,lista para construir,748744,4,1,1.18,Calle Alcalá 156,Barcelona,Asturias,25280,144,2024-08-29,5199.611111111111
Coldwell Banker,lista para construir,666583,5,3,1.85,Avenida Diagonal 79,Palma,Asturias,22164,209,2024-11-29,3189.3923444976076
eXp Realty,lista para construir,693661,2,2,1.69,Avenida Diagonal 110,Las Palmas,Galicia,38182,255,2024-08-30,2720.2392156862743
Keller Williams,lista para la venta,456663,6,3,0.67,Calle Gran Vía 85,Valencia,Canarias,26339,57,2024-11-10,8011.631578947368
Keller Williams,lista para la venta,577041,2,2,1.36,Plaza del Sol 139,Murcia,Galicia,16814,186,2025-03-27,3102.3709677419356
Coldwell Banker,lista para la venta,920603,1,1,1.5,Calle Alcalá 143,Alicante,Madrid,11824,376,2023-10-18,2448.4122340425533
Keller Williams,lista para construir,462001,1,2,1.7,Paseo de la Castellana 20,Valladolid,Navarra,15266,149,2023-06-15,3100.6778523489934
Keller Williams,lista para construir,587388,3,2,0.52,Plaza España 62,Alicante,Castilla-La Mancha,52772,186,2023-09-15,3158.0
Sotheby's,lista para construir,747679,6,2,0.17,Calle Gran Vía 159,Málaga,Murcia,15340,191,2023-08-28,3914.549738219895
RE/MAX,lista para construir,321177,6,2,1.65,Calle Serrano 150,Málaga,Navarra,25872,52,2024-09-12,6176.4807692307695
RE/MAX,lista para construir,1028368,1,2,0.86,Calle Mayor 108,Zaragoza,Galicia,51983,446,2024-06-30,2305.7578475336322
Coldwell Banker,lista para construir,2076896,4,3,1.86,Plaza España 177,Madrid,Extremadura,61029,407,2023-10-31,5102.938574938575
Berkshire Hathaway,lista para la venta,799218,3,2,0.86,Ronda de Valencia 46,Valencia,Andalucía,40307,218,2024-10-03,3666.137614678899
Keller Williams,lista para construir,990107,4,1,0.21,Paseo de la Castellana 146,Murcia,Madrid,65575,431,2024-11-19,2297.232018561485
Sotheby's,lista para construir,717222,2,3,1.45,Plaza España 13,Murcia,Navarra,98603,243,2023-09-26,2951.5308641975307
Sotheby's,lista para la venta,500574,6,2,0.29,Ronda de Valencia 120,Las Palmas,País Vasco,87870,129,2024-07-30,3880.4186046511627
RE/MAX,lista para construir,845496,1,2,0.99,Calle Alcalá 83,Bilbao,Castilla y León,56275,235,2024-11-06,3597.8553191489364
Compass,lista para construir,775217,5,3,0.34,Ronda de Valencia 144,Alicante,Valencia,59488,261,2023-08-20,2970.1800766283527
Coldwell Banker,lista para construir,1400172,1,2,0.78,Avenida Diagonal 160,Madrid,Castilla y León,96899,286,2024-12-26,4895.706293706294
RE/MAX,lista para construir,1373949,6,1,1.47,Calle Alcalá 192,Sevilla,Navarra,79143,496,2025-04-07,2770.0584677419356
Century 21,lista para construir,2098297,4,2,1.97,Calle Gran Vía 44,Madrid,País Vasco,82513,418,2023-08-15,5019.849282296651
eXp Realty,lista para construir,224582,1,1,0.2,Calle Gran Vía 191,Alicante,Valencia,44901,113,2023-06-19,1987.4513274336284
Keller Williams,lista para construir,837456,1,1,1.37,Paseo de la Castellana 72,Palma,Baleares,56121,364,2024-01-05,2300.703296703297
RE/MAX,lista para la venta,743853,4,4,1.46,Avenida Diagonal 56,Valladolid,Andalucía,83388,289,2024-09-17,2573.885813148789
Sotheby's,lista para construir,1230320,6,3,0.73,Plaza del Sol 166,Gijón,Cataluña,50682,500,2025-04-02,2460.64
eXp Realty,lista para la venta,474756,5,1,1.18,Plaza España 200,Bilbao,Valencia,91230,99,2024-03-05,4795.515151515152
Realty One,lista para la venta,793303,6,4,0.24,Calle Alcalá 50,Alicante,Cataluña,89739,277,2024-10-14,2863.9097472924186
Sotheby's,lista para construir,588039,2,3,1.92,Paseo de la Castellana 72,Córdoba,Valencia,28025,166,2023-07-24,3542.4036144578313
Coldwell Banker,lista para construir,915768,5,4,1.04,Calle Alcalá 175,Gijón,Navarra,15026,316,2024-09-27,2898.0
Compass,lista para la venta,315381,4,2,1.24,Calle Mayor 42,Vigo,Galicia,70668,93,2024-08-13,3391.1935483870966
Realty One,lista para la venta,1518594,3,4,0.73,Calle Mayor 47,Málaga,Castilla-La Mancha,19031,489,2023-08-11,3105.5092024539877
Coldwell Banker,lista para construir,747274,2,1,1.59,Plaza del Sol 164,Vigo,Castilla y León,63467,279,2024-11-23,2678.401433691756
Berkshire Hathaway,lista para la venta,953766,1,2,1.86,Paseo de la Castellana 174,Valladolid,Madrid,99487,416,2025-01-17,2292.706730769231
Berkshire Hathaway,lista para la venta,2077741,6,2,1.01,Plaza España 107,Barcelona,Andalucía,21012,436,2024-07-25,4765.461009174312
Coldwell Banker,lista para la venta,1148518,4,2,0.29,Calle Mayor 194,Barcelona,Madrid,24115,254,2023-08-24,4521.724409448819
Compass,lista para la venta,1029864,3,1,1.35,Calle Gran Vía 112,Córdoba,Castilla y León,70163,432,2025-04-20,2383.9444444444443
Compass,lista para construir,1105327,2,1,1.85,Calle Mayor 121,Valladolid,Valencia,53323,499,2024-11-30,2215.0841683366734
Berkshire Hathaway,lista para la venta,1002097,3,2,1.84,Calle Serrano 76,Gijón,Navarra,72190,373,2024-01-30,2686.5871313672924
RE/MAX,lista para la venta,1014890,2,2,0.65,Calle Alcalá 130,Murcia,Aragón,46115,441,2024-03-27,2301.337868480726
eXp Realty,lista para construir,1221175,4,3,0.33,Calle Serrano 23,Valladolid,País Vasco,40284,500,2024-02-15,2442.35
Keller Williams,lista para la venta,1029470,1,2,1.04,Avenida Diagonal 68,Valencia,Castilla y León,67547,322,2024-05-20,3197.111801242236
Sotheby's,lista para la venta,511918,2,3,0.27,Ronda de Valencia 73,Gijón,Extremadura,24485,209,2024-01-26,2449.3684210526317
Keller Williams,lista para construir,397274,3,2,0.38,Avenida Diagonal 171,Vigo,Madrid,17686,129,2025-01-16,3079.6434108527133
Keller Williams,lista para construir,1299392,6,4,0.82,Paseo de la Castellana 173,Valladolid,Murcia,80785,493,2024-12-28,2635.683569979716
Realty One,lista para construir,1160593,1,2,0.71,Calle Alcalá 114,Valencia,Castilla y León,48221,400,2023-08-13,2901.4825
Coldwell Banker,lista para construir,653437,6,3,1.75,Plaza del Sol 79,Alicante,Aragón,75838,164,2025-04-04,3984.371951219512
Century 21,lista para la venta,1264695,6,4,1.44,Ronda de Valencia 46,Sevilla,Asturias,14149,454,2024-08-19,2785.671806167401
Coldwell Banker,lista para construir,698403,3,2,1.67,Calle Gran Vía 193,Las Palmas,Madrid,64098,258,2025-01-01,2706.9883720930234
Realty One,lista para la venta,1262624,5,4,1.96,Plaza España 112,Sevilla,Canarias,96535,433,2024-10-08,2915.990762124711
Realty One,lista para la venta,1610592,1,2,1.97,Calle Serrano 76,Bilbao,Murcia,98738,469,2024-04-01,3434.098081023454
Century 21,lista para la venta,996138,4,1,0.89,Calle Gran Vía 97,Alicante,Asturias,36508,391,2024-10-27,2547.6675191815857
Compass,lista para la venta,884820,3,2,0.23,Plaza del Sol 35,Las Palmas,País Vasco,89743,351,2025-04-07,2520.8547008547007
Realty One,lista para construir,1187304,6,2,1.04,Calle Gran Vía 198,Gijón,Baleares,89717,497,2023-12-07,2388.9416498993965
Berkshire Hathaway,lista para construir,2423871,5,4,1.32,Avenida de la Constitución 56,Madrid,Castilla-La Mancha,75963,475,2024-12-18,5102.886315789474
Century 21,lista para la venta,881671,5,1,0.48,Calle Gran Vía 145,Málaga,Andalucía,81556,274,2024-06-12,3217.7773722627735
Century 21,lista para la venta,419881,5,4,0.3,Plaza del Sol 95,Murcia,Extremadura,18852,122,2024-05-04,3441.6475409836066
RE/MAX,lista para construir,2275546,6,1,0.92,Avenida Diagonal 110,Barcelona,Madrid,62979,490,2024-04-01,4643.971428571429
Century 21,lista para la venta,278436,1,1,0.78,Calle Mayor 175,Córdoba,País Vasco,67394,96,2024-10-25,2900.375
Realty One,lista para construir,445490,3,4,0.54,Plaza del Sol 156,Gijón,Castilla-La Mancha,91346,142,2023-12-06,3137.2535211267605
Coldwell Banker,lista para la venta,881418,3,3,0.6,Avenida de la Constitución 62,Gijón,Baleares,76826,340,2025-01-18,2592.4058823529413
RE/MAX,lista para construir,1168566,3,4,1.32,Calle Gran Vía 34,Zaragoza,Aragón,35040,464,2025-01-03,2518.4612068965516
Realty One,lista para construir,520794,6,2,1.42,Paseo de la Castellana 133,Murcia,Cataluña,80911,127,2023-07-31,4100.740157480315
RE/MAX,lista para la venta,1134077,3,3,1.96,Avenida de la Constitución 181,Valladolid,Navarra,67582,465,2025-02-08,2438.8752688172044
Sotheby's,lista para la venta,1130033,3,1,1.28,Avenida Diagonal 144,Bilbao,Andalucía,27094,305,2023-11-18,3705.0262295081966
Berkshire Hathaway,lista para la venta,313406,3,1,0.48,Plaza del Sol 144,Murcia,Navarra,70224,112,2024-04-21,2798.2678571428573
Coldwell Banker,lista para la venta,1008184,1,2,1.72,Calle Alcalá 64,Murcia,Extremadura,54034,396,2024-08-01,2545.919191919192
Century 21,lista para construir,1213262,4,1,1.37,Plaza España 110,Bilbao,Canarias,58850,347,2024-02-21,3496.4322766570604
Compass,lista para construir,1001325,6,2,1.27,Calle Alcalá 25,Las Palmas,Navarra,18069,399,2023-06-21,2509.5864661654136
Coldwell Banker,lista para construir,1352618,3,4,0.21,Calle Mayor 195,Málaga,Asturias,33996,467,2025-01-17,2896.3982869379015
Century 21,lista para construir,768669,5,4,0.17,Plaza del Sol 138,Alicante,Baleares,78548,315,2023-10-06,2440.2190476190476
RE/MAX,lista para la venta,713357,2,2,1.91,Calle Gran Vía 76,Murcia,Extremadura,37530,227,2023-10-27,3142.541850220264
Berkshire Hathaway,lista para la venta,613051,2,3,0.87,Calle Mayor 114,Málaga,Castilla-La Mancha,96976,168,2024-12-11,3649.1130952380954
Century 21,lista para la venta,1502019,2,2,1.8,Avenida Diagonal 79,Valencia,Castilla y León,65289,465,2024-01-25,3230.148387096774
eXp Realty,lista para la venta,810366,1,2,1.97,Calle Alcalá 99,Barcelona,Navarra,44727,138,2025-02-07,5872.217391304348
Coldwell Banker,lista para construir,1072397,5,3,1.48,Avenida Diagonal 68,Murcia,Cataluña,54433,385,2024-10-04,2785.4467532467534
Century 21,lista para construir,877932,4,2,1.13,Ronda de Valencia 42,Bilbao,Aragón,45610,212,2023-12-11,4141.188679245283
Realty One,lista para construir,1245372,1,1,0.16,Paseo de la Castellana 3,Valencia,Extremadura,17406,411,2023-06-08,3030.102189781022
Sotheby's,lista para construir,1108676,5,1,1.67,Calle Serrano 40,Vigo,Aragón,44756,406,2025-03-26,2730.729064039409
eXp Realty,lista para la venta,472398,2,2,0.41,Calle Gran Vía 4,Murcia,Asturias,18355,156,2023-07-31,3028.1923076923076
Berkshire Hathaway,lista para construir,1411748,6,1,1.65,Ronda de Valencia 70,Bilbao,Extremadura,57815,354,2024-10-17,3987.9887005649716
Berkshire Hathaway,lista para la venta,637787,4,3,1.94,Ronda de Valencia 87,Valladolid,Navarra,22516,199,2024-05-08,3204.959798994975
Realty One,lista para construir,1020516,2,3,0.59,Ronda de Valencia 158,Zaragoza,Murcia,81072,445,2024-11-13,2293.294382022472
RE/MAX,lista para la venta,870049,3,1,0.62,Plaza del Sol 23,Las Palmas,Cataluña,70288,358,2024-09-27,2430.304469273743
Sotheby's,lista para la venta,783002,2,1,1.92,Calle Mayor 50,Alicante,Asturias,12474,338,2024-08-26,2316.5739644970413
Compass,lista para construir,719427,4,2,0.98,Avenida Diagonal 16,Sevilla,Valencia,55830,226,2024-05-10,3183.3053097345132
RE/MAX,lista para la venta,321455,4,1,1.78,Paseo de la Castellana 68,Valladolid,Baleares,94165,53,2024-12-07,6065.188679245283
Coldwell Banker,lista para construir,553182,4,4,1.94,Plaza España 190,Palma,Valencia,15304,176,2023-08-05,3143.0795454545455
Compass,lista para la venta,1698064,4,2,0.43,Ronda de Valencia 87,Madrid,Castilla y León,67552,356,2023-11-03,4769.842696629214
RE/MAX,lista para la venta,601866,4,1,0.13,Plaza España 184,Málaga,Cataluña,97933,202,2024-09-27,2979.5346534653463
Realty One,lista para construir,2137321,2,1,1.74,Plaza del Sol 64,Madrid,Extremadura,46693,443,2024-01-01,4824.65237020316
Compass,lista para la venta,475406,4,2,1.22,Calle Mayor 155,Madrid,Galicia,47079,56,2024-07-12,8489.392857142857
Century 21,lista para construir,549904,1,1,1.92,Avenida Diagonal 23,Málaga,Murcia,75157,133,2024-04-27,4134.616541353384
eXp Realty,lista para la venta,376023,6,2,0.84,Calle Mayor 62,Palma,Navarra,57107,105,2024-06-07,3581.1714285714284
Compass,lista para construir,696630,4,2,0.53,Calle Mayor 90,Gijón,Cataluña,48480,280,2024-03-25,2487.964285714286
Compass,lista para construir,969493,1,2,0.67,Calle Alcalá 50,Valladolid,País Vasco,86433,394,2024-11-04,2460.6421319796955
eXp Realty,lista para construir,968716,5,4,0.15,Calle Gran Vía 134,Córdoba,Castilla-La Mancha,52312,384,2024-01-18,2522.6979166666665
Keller Williams,lista para la venta,1185122,6,3,0.24,Calle Serrano 26,Murcia,Galicia,93723,481,2024-10-05,2463.871101871102
