brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
Berkshire Hathaway,lista para la venta,1165912,6,4,1.92,Calle Alcalá 82,Gijón,Navarra,48669,468,2024-03-12
Berkshire Hathaway,lista para construir,982052,6,3,1.29,Plaza España 16,Murcia,Aragón,37119,372,2024-06-15
RE/MAX,lista para la venta,1735857,1,2,1.97,Ronda de Valencia 100,Barcelona,Madrid,51849,365,2024-03-18
RE/MAX,lista para construir,333675,1,2,1.44,Calle Serrano 46,Sevilla,Murcia,90408,73,2023-10-23
Coldwell Banker,lista para la venta,735674,3,2,0.79,Calle Serrano 18,Zaragoza,Navarra,94777,283,2024-03-21
Coldwell Banker,lista para construir,913713,2,2,0.25,Calle Gran Vía 187,Zaragoza,Cataluña,87269,369,2025-02-24
Sotheby's,lista para la venta,1151549,5,1,1.13,Calle Mayor 98,Barcelona,Andalucía,11061,230,2024-07-14
Berkshire Hathaway,lista para la venta,534166,2,3,0.45,Calle Serrano 172,Vigo,Asturias,38439,229,2024-09-30
Compass,lista para construir,757893,1,2,0.19,Avenida de la Constitución 25,Las Palmas,Baleares,61689,328,2025-01-21
Century 21,lista para construir,523179,6,3,0.16,Calle Serrano 90,Murcia,Valencia,74953,139,2024-11-18
Realty One,lista para construir,310056,1,2,0.49,Avenida de la Constitución 156,Alicante,Castilla y León,79813,109,2024-02-22
Century 21,lista para construir,844528,4,2,1.81,Calle Gran Vía 179,Gijón,Aragón,97530,343,2023-06-05
Sotheby's,lista para construir,1116503,1,1,0.8,Calle Serrano 144,Murcia,Baleares,21954,488,2024-02-02
Century 21,lista para construir,369163,6,3,0.63,Paseo de la Castellana 141,Córdoba,Murcia,43461,50,2024-11-10
Keller Williams,lista para la venta,1004794,3,4,0.3,Ronda de Valencia 12,Barcelona,Navarra,42390,191,2025-01-19
Keller Williams,lista para la venta,1682947,4,1,0.49,Avenida de la Constitución 101,Bilbao,Andalucía,56583,495,2025-03-30
Berkshire Hathaway,lista para construir,894603,5,2,1.47,Ronda de Valencia 115,Valladolid,Castilla-La Mancha,40839,308,2024-03-20
eXp Realty,lista para construir,305012,5,2,0.2,Calle Gran Vía 50,Córdoba,País Vasco,43985,74,2024-11-06
Century 21,lista para la venta,1664233,4,3,1.46,Avenida de la Constitución 183,Barcelona,Castilla y León,27134,355,2024-06-17
Realty One,lista para construir,375039,4,1,0.53,Avenida de la Constitución 170,Bilbao,Valencia,27045,73,2024-07-27
Berkshire Hathaway,lista para la venta,1218212,6,3,0.89,Avenida de la Constitución 85,Málaga,Madrid,35839,391,2023-11-02
Keller Williams,lista para construir,966127,1,2,0.42,Plaza del Sol 54,Barcelona,Asturias,68988,194,2023-11-01
eXp Realty,lista para la venta,780083,4,2,1.77,Avenida de la Constitución 146,Palma,Andalucía,90370,305,2024-04-01
eXp Realty,lista para la venta,307306,3,1,0.33,Calle Mayor 154,Palma,Castilla-La Mancha,14363,93,2023-06-21
Sotheby's,lista para construir,1005685,3,3,1.73,Avenida de la Constitución 62,Palma,Murcia,89061,384,2024-01-22
RE/MAX,lista para construir,1347418,6,4,0.56,Avenida Diagonal 4,Sevilla,Navarra,80875,476,2024-09-19
RE/MAX,lista para construir,598369,1,2,1.93,Paseo de la Castellana 112,Palma,Murcia,62099,245,2024-03-10
Century 21,lista para construir,1585169,2,2,0.41,Avenida Diagonal 102,Barcelona,Valencia,30408,361,2023-09-24
Sotheby's,lista para construir,729557,3,1,0.19,Calle Gran Vía 62,Las Palmas,Baleares,81731,312,2024-04-23
Century 21,lista para la venta,582040,2,3,1.36,Avenida de la Constitución 38,Córdoba,Baleares,29626,212,2023-08-29
Keller Williams,lista para la venta,1069195,2,2,1.14,Paseo de la Castellana 56,Las Palmas,Castilla-La Mancha,58905,423,2024-08-10
Sotheby's,lista para construir,586589,4,2,1.21,Avenida Diagonal 106,Valladolid,Murcia,13088,230,2023-06-19
Compass,lista para construir,376753,4,3,0.74,Calle Mayor 118,Sevilla,Baleares,31106,116,2024-03-03
Sotheby's,lista para la venta,889406,5,2,1.19,Plaza España 16,Zaragoza,Navarra,54226,315,2024-06-30
Keller Williams,lista para la venta,681115,6,1,0.52,Calle Alcalá 3,Alicante,Asturias,77969,266,2023-06-19
Compass,lista para construir,817215,5,4,1.81,Calle Mayor 113,Las Palmas,Extremadura,11641,300,2024-08-24
Century 21,lista para construir,420934,5,2,0.47,Paseo de la Castellana 82,Vigo,Galicia,56186,89,2023-09-04
Century 21,lista para construir,647798,2,1,0.46,Ronda de Valencia 158,Córdoba,Navarra,54667,290,2024-04-19
Compass,lista para construir,858306,2,3,1.22,Paseo de la Castellana 40,Alicante,Extremadura,22018,323,2023-07-06
Sotheby's,lista para construir,299573,4,2,1.65,Plaza del Sol 61,Las Palmas,Valencia,78322,73,2024-02-21
Century 21,lista para la venta,523648,6,1,1.98,Calle Serrano 49,Bilbao,Baleares,31516,74,2023-10-27
Coldwell Banker,lista para la venta,1025602,5,3,1.21,Plaza España 42,Alicante,Andalucía,23433,390,2024-01-16
eXp Realty,lista para la venta,408741,2,1,1.1,Plaza del Sol 48,Alicante,Aragón,51447,125,2024-11-15
Realty One,lista para la venta,480667,6,4,0.36,Plaza del Sol 197,Las Palmas,Valencia,71461,99,2024-02-21
Realty One,lista para construir,1518572,1,2,1.17,Calle Serrano 16,Bilbao,Andalucía,50549,455,2024-11-09
Berkshire Hathaway,lista para la venta,1933414,6,1,1.24,Ronda de Valencia 80,Barcelona,Extremadura,42025,391,2025-01-04
Realty One,lista para construir,900213,5,4,1.74,Plaza del Sol 24,Córdoba,Cataluña,55856,297,2023-11-24
Berkshire Hathaway,lista para construir,564402,2,1,0.3,Calle Mayor 44,Las Palmas,Murcia,29719,260,2023-07-28
Coldwell Banker,lista para construir,876610,3,1,0.62,Calle Alcalá 13,Palma,Extremadura,94039,394,2023-06-14
Realty One,lista para construir,892507,3,4,0.81,Paseo de la Castellana 75,Málaga,País Vasco,64300,255,2024-06-13
Sotheby's,lista para construir,1086348,1,1,1.9,Calle Alcalá 12,Barcelona,Navarra,92826,214,2025-05-01
Realty One,lista para la venta,744247,3,1,1.01,Avenida de la Constitución 150,Zaragoza,Madrid,40465,276,2024-02-01
RE/MAX,lista para construir,1134406,3,2,1.28,Calle Mayor 169,Las Palmas,Cataluña,72343,473,2024-08-29
Keller Williams,lista para la venta,827564,2,3,1.74,Plaza España 80,Zaragoza,Valencia,52775,319,2024-11-29
eXp Realty,lista para construir,371421,3,3,1.19,Plaza del Sol 31,Bilbao,Valencia,40610,81,2024-08-30
Berkshire Hathaway,lista para la venta,292509,4,3,0.23,Calle Mayor 80,Vigo,Canarias,59793,56,2024-11-10
Sotheby's,lista para construir,1111065,5,2,0.24,Avenida Diagonal 154,Gijón,Asturias,22759,492,2025-03-27
Keller Williams,lista para la venta,991869,2,2,1.37,Avenida de la Constitución 179,Bilbao,País Vasco,60821,257,2023-10-18
Coldwell Banker,lista para la venta,514235,3,1,1.77,Paseo de la Castellana 97,Barcelona,Andalucía,90102,82,2023-06-15
Coldwell Banker,lista para construir,979188,4,3,1.62,Calle Gran Vía 114,Bilbao,Madrid,43628,240,2023-09-15
Berkshire Hathaway,lista para la venta,1132230,6,3,0.14,Ronda de Valencia 102,Gijón,Aragón,83937,482,2023-08-28
Compass,lista para la venta,620544,1,1,0.55,Calle Gran Vía 40,Valencia,Andalucía,26499,197,2024-09-12
Compass,lista para la venta,591295,1,1,0.95,Calle Alcalá 147,Vigo,Extremadura,31082,257,2024-06-30
Realty One,lista para la venta,287429,1,2,0.88,Paseo de la Castellana 191,Zaragoza,Murcia,28774,85,2023-10-31
Coldwell Banker,lista para la venta,1190556,1,1,1.68,Avenida Diagonal 138,Sevilla,Aragón,52088,500,2024-10-03
Compass,lista para construir,503509,1,2,1.0,Calle Gran Vía 51,Murcia,Asturias,18169,158,2024-11-19
Keller Williams,lista para la venta,1327867,3,2,0.83,Calle Mayor 31,Madrid,Andalucía,55968,244,2023-09-26
Compass,lista para construir,1428358,6,4,1.29,Avenida de la Constitución 190,Valencia,Aragón,65840,407,2024-07-30
Century 21,lista para construir,427868,6,4,1.87,Avenida de la Constitución 39,Córdoba,Extremadura,34835,51,2024-11-06
Century 21,lista para construir,325359,4,4,0.18,Calle Serrano 152,Las Palmas,Galicia,57633,84,2023-08-20
Compass,lista para la venta,963296,6,1,0.48,Calle Alcalá 90,Barcelona,Valencia,17764,197,2024-12-26
Century 21,lista para construir,986387,2,1,1.85,Paseo de la Castellana 36,Zaragoza,Murcia,46799,421,2025-04-07
Sotheby's,lista para la venta,586643,2,3,0.34,Ronda de Valencia 80,Bilbao,Murcia,75109,129,2023-08-15
Compass,lista para la venta,1562717,4,1,0.3,Calle Mayor 65,Barcelona,Madrid,13643,340,2023-06-19
Coldwell Banker,lista para construir,498745,3,4,0.95,Plaza del Sol 47,Palma,Galicia,39729,138,2024-01-05
Berkshire Hathaway,lista para la venta,938837,2,3,1.59,Calle Mayor 160,Sevilla,Navarra,81040,311,2024-09-17
Keller Williams,lista para construir,1732180,6,1,0.57,Calle Gran Vía 168,Bilbao,Baleares,22777,493,2025-04-02
Sotheby's,lista para construir,618469,6,3,0.78,Plaza del Sol 157,Barcelona,Cataluña,12405,75,2024-03-05
Berkshire Hathaway,lista para construir,881463,2,3,1.55,Ronda de Valencia 62,Zaragoza,Cataluña,17859,377,2024-10-14
RE/MAX,lista para la venta,1443067,2,1,1.28,Avenida de la Constitución 44,Bilbao,Valencia,69812,428,2023-07-24
Berkshire Hathaway,lista para la venta,610156,2,3,1.38,Calle Gran Vía 173,Bilbao,País Vasco,92821,148,2024-09-27
RE/MAX,lista para construir,839374,4,1,0.83,Calle Serrano 144,Córdoba,País Vasco,75144,372,2024-08-13
Coldwell Banker,lista para construir,908301,3,3,0.36,Paseo de la Castellana 96,Córdoba,Cataluña,47918,395,2023-08-11
Century 21,lista para la venta,1062784,1,1,0.21,Avenida Diagonal 93,Murcia,Baleares,54021,489,2024-11-23
Realty One,lista para la venta,677420,4,3,1.05,Calle Gran Vía 1,Zaragoza,Extremadura,97060,229,2025-01-17
Coldwell Banker,lista para construir,1175955,3,2,1.67,Avenida de la Constitución 32,Vigo,Navarra,59628,486,2024-07-25
Keller Williams,lista para construir,444591,3,4,0.9,Ronda de Valencia 177,Palma,Baleares,61992,93,2023-08-24
Berkshire Hathaway,lista para la venta,2309434,4,4,0.63,Calle Alcalá 36,Madrid,Andalucía,89125,453,2025-04-20
Sotheby's,lista para la venta,329402,2,2,0.75,Calle Gran Vía 163,Gijón,Galicia,76398,92,2024-11-30
Realty One,lista para la venta,1556933,1,2,1.47,Avenida Diagonal 128,Madrid,Canarias,68229,304,2024-01-30
eXp Realty,lista para construir,942895,1,2,1.54,Calle Alcalá 123,Málaga,Andalucía,87191,320,2024-03-27
Compass,lista para construir,825752,4,4,1.89,Plaza del Sol 36,Málaga,Galicia,23448,217,2024-02-15
Compass,lista para construir,963623,1,2,1.82,Calle Alcalá 21,Córdoba,Aragón,28290,373,2024-05-20
Coldwell Banker,lista para construir,773212,4,4,1.71,Calle Gran Vía 133,Valencia,Galicia,87675,210,2024-01-26
Sotheby's,lista para construir,1502750,3,3,0.83,Plaza del Sol 96,Barcelona,Cataluña,69828,311,2025-01-16
Realty One,lista para construir,1190867,3,3,1.3,Paseo de la Castellana 171,Murcia,Valencia,91049,480,2024-12-28
Compass,lista para la venta,1048105,1,1,0.29,Calle Mayor 129,Vigo,Madrid,22474,479,2023-08-13
Sotheby's,lista para construir,554586,6,3,2.0,Calle Serrano 199,Alicante,Asturias,89424,135,2025-04-04
Keller Williams,lista para construir,875388,5,4,0.46,Avenida de la Constitución 26,Palma,Castilla-La Mancha,75660,322,2024-08-19
Coldwell Banker,lista para construir,1065872,5,4,0.79,Calle Serrano 79,Valladolid,Navarra,10861,393,2025-01-01
Coldwell Banker,lista para construir,531796,3,1,0.74,Plaza del Sol 103,Bilbao,Galicia,99074,151,2024-10-08
Coldwell Banker,lista para construir,715347,3,1,1.75,Plaza del Sol 153,Palma,Andalucía,29458,252,2024-04-01
Century 21,lista para construir,1046618,6,2,1.09,Ronda de Valencia 30,Zaragoza,Valencia,69145,403,2024-10-27
RE/MAX,lista para construir,1117695,1,2,1.75,Avenida Diagonal 57,Valladolid,Castilla-La Mancha,26912,487,2025-04-07
Realty One,lista para construir,348646,4,2,1.4,Plaza del Sol 131,Palma,Andalucía,11730,67,2023-12-07
Realty One,lista para construir,836308,2,3,1.85,Plaza España 17,Valladolid,Valencia,82470,353,2024-12-18
Century 21,lista para construir,574365,5,2,0.42,Ronda de Valencia 7,Alicante,Andalucía,34555,184,2024-06-12
eXp Realty,lista para construir,890488,1,2,1.13,Avenida de la Constitución 71,Vigo,Galicia,10078,402,2024-05-04
RE/MAX,lista para la venta,825202,6,3,1.43,Calle Gran Vía 4,Murcia,Canarias,77614,314,2024-04-01
Compass,lista para la venta,604930,4,1,1.0,Plaza España 22,Córdoba,Castilla-La Mancha,31100,208,2024-10-25
eXp Realty,lista para construir,1363652,4,4,0.68,Plaza del Sol 172,Madrid,Galicia,90674,245,2023-12-06
RE/MAX,lista para la venta,488966,3,3,0.85,Paseo de la Castellana 160,Madrid,Navarra,99562,81,2025-01-18
RE/MAX,lista para la venta,1962282,3,1,0.84,Avenida de la Constitución 16,Madrid,Castilla y León,43594,399,2025-01-03
Realty One,lista para la venta,692110,2,3,0.2,Plaza España 46,Málaga,Extremadura,82478,192,2023-07-31
Berkshire Hathaway,lista para construir,624204,3,2,1.53,Ronda de Valencia 151,Las Palmas,Castilla y León,46926,212,2025-02-08
eXp Realty,lista para construir,475809,3,3,1.33,Calle Serrano 59,Málaga,Galicia,30251,111,2023-11-18
Keller Williams,lista para la venta,682895,3,4,1.13,Avenida Diagonal 32,Murcia,Castilla-La Mancha,77761,224,2024-04-21
Realty One,lista para la venta,975983,3,2,1.65,Calle Gran Vía 52,Bilbao,Baleares,28294,270,2024-08-01
Compass,lista para la venta,970093,6,3,0.93,Calle Serrano 94,Palma,Baleares,18480,387,2024-02-21
eXp Realty,lista para la venta,431086,2,2,0.23,Plaza del Sol 148,Bilbao,Navarra,98244,125,2023-06-21
RE/MAX,lista para la venta,345792,5,3,0.14,Calle Alcalá 152,Vigo,Cataluña,38622,97,2025-01-17
Century 21,lista para construir,469562,3,4,0.25,Plaza del Sol 150,Murcia,Canarias,68927,189,2023-10-06
Compass,lista para la venta,474087,5,4,0.59,Plaza España 106,Córdoba,Extremadura,82306,159,2023-10-27
RE/MAX,lista para la venta,1249433,2,3,0.85,Calle Gran Vía 82,Madrid,Madrid,21592,244,2024-12-11
Berkshire Hathaway,lista para la venta,917911,6,2,0.76,Avenida de la Constitución 73,Barcelona,Andalucía,49201,165,2024-01-25
Sotheby's,lista para construir,898984,6,1,0.99,Avenida Diagonal 14,Alicante,Valencia,41643,353,2025-02-07
Coldwell Banker,lista para la venta,625557,2,1,0.17,Plaza España 119,Sevilla,Murcia,27215,260,2024-10-04
eXp Realty,lista para la venta,2025877,1,2,1.08,Calle Alcalá 56,Madrid,Valencia,43394,406,2023-12-11
eXp Realty,lista para la venta,1125355,5,4,1.33,Calle Alcalá 71,Vigo,Cataluña,40470,406,2023-06-08
Keller Williams,lista para la venta,468409,4,1,1.24,Avenida de la Constitución 188,Valladolid,Madrid,76794,124,2025-03-26
Berkshire Hathaway,lista para la venta,1365216,3,2,1.78,Calle Gran Vía 25,Barcelona,Navarra,53732,293,2023-07-31
eXp Realty,lista para construir,431995,6,2,1.34,Ronda de Valencia 171,Córdoba,Baleares,34386,94,2024-10-17
Realty One,lista para construir,865976,4,3,0.45,Calle Mayor 107,Valencia,Castilla y León,38142,235,2024-05-08
Century 21,lista para la venta,779890,5,4,0.3,Plaza España 87,Córdoba,Extremadura,81754,253,2024-11-13
Compass,lista para la venta,1137792,3,4,1.19,Calle Gran Vía 42,Sevilla,Asturias,69931,394,2024-09-27
eXp Realty,lista para construir,740286,4,4,0.26,Avenida de la Constitución 93,Madrid,Castilla-La Mancha,70153,113,2024-08-26
eXp Realty,lista para construir,298662,5,1,0.19,Plaza del Sol 180,Zaragoza,Baleares,50009,85,2024-05-10
Compass,lista para la venta,707749,6,4,1.47,Avenida Diagonal 66,Las Palmas,Castilla y León,91320,244,2024-12-07
eXp Realty,lista para construir,817732,6,3,0.87,Calle Alcalá 21,Murcia,Valencia,51339,327,2023-08-05
Realty One,lista para construir,994974,2,1,1.46,Avenida de la Constitución 94,Gijón,Asturias,61971,414,2023-11-03
Berkshire Hathaway,lista para la venta,798333,2,1,1.59,Paseo de la Castellana 185,Las Palmas,Castilla-La Mancha,57783,305,2024-09-27
Compass,lista para construir,839590,4,2,0.64,Calle Mayor 132,Sevilla,Castilla y León,72121,300,2024-01-01
Sotheby's,lista para construir,1154994,5,2,0.97,Ronda de Valencia 83,Las Palmas,Valencia,17118,496,2024-07-12
Sotheby's,lista para construir,1225554,5,1,1.42,Calle Mayor 34,Sevilla,País Vasco,43431,487,2024-04-27
Coldwell Banker,lista para la venta,680224,3,2,1.46,Ronda de Valencia 171,Bilbao,Madrid,54402,182,2024-06-07
RE/MAX,lista para la venta,1342746,2,3,1.95,Plaza del Sol 102,Málaga,Canarias,84057,415,2024-03-25
eXp Realty,lista para la venta,745487,5,3,1.33,Calle Gran Vía 175,Las Palmas,Aragón,58560,218,2024-11-04
Keller Williams,lista para construir,299198,3,2,0.15,Calle Mayor 167,Vigo,Aragón,36208,94,2024-01-18
Sotheby's,lista para la venta,980744,5,2,1.66,Avenida Diagonal 195,Bilbao,Extremadura,68369,232,2024-10-05
Berkshire Hathaway,lista para la venta,349671,3,4,1.03,Avenida Diagonal 182,Murcia,Castilla y León,31840,89,2023-12-07
eXp Realty,lista para construir,1575720,5,2,0.54,Calle Gran Vía 111,Barcelona,Cataluña,51363,335,2023-11-24
Berkshire Hathaway,lista para la venta,1074379,5,4,0.4,Plaza del Sol 13,Valencia,Andalucía,96286,297,2023-08-24
Sotheby's,lista para la venta,2296049,4,2,1.77,Plaza del Sol 115,Madrid,Castilla-La Mancha,10724,446,2023-10-14
eXp Realty,lista para la venta,452849,4,2,1.62,Ronda de Valencia 52,Las Palmas,Asturias,96027,109,2023-08-23
RE/MAX,lista para la venta,763051,4,4,0.77,Avenida de la Constitución 112,Madrid,Murcia,15672,141,2024-06-10
Keller Williams,lista para construir,407283,3,3,0.98,Calle Mayor 188,Valladolid,Galicia,14438,109,2024-11-16
Realty One,lista para la venta,456015,4,2,0.25,Plaza del Sol 47,Murcia,Galicia,10631,120,2023-10-08
Century 21,lista para la venta,655377,1,2,1.79,Avenida Diagonal 38,Córdoba,Asturias,22670,242,2023-10-30
RE/MAX,lista para la venta,612388,6,4,0.95,Plaza del Sol 31,Gijón,Castilla y León,75539,202,2024-05-05
Sotheby's,lista para la venta,490426,1,2,0.73,Avenida de la Constitución 78,Valencia,Extremadura,61018,161,2024-10-20
Sotheby's,lista para la venta,792729,5,2,0.58,Calle Alcalá 106,Bilbao,Asturias,50603,197,2025-04-15
Realty One,lista para construir,1099543,4,3,1.24,Plaza del Sol 31,Valladolid,Baleares,37228,441,2024-06-02
Keller Williams,lista para la venta,570052,6,3,0.57,Calle Gran Vía 33,Madrid,Cataluña,85494,83,2023-12-16
RE/MAX,lista para la venta,408191,2,2,1.19,Avenida de la Constitución 145,Sevilla,Castilla-La Mancha,17595,141,2023-08-10
Sotheby's,lista para la venta,538701,6,1,1.2,Calle Gran Vía 64,Madrid,Castilla y León,83878,71,2023-10-15
Keller Williams,lista para construir,869340,5,1,0.25,Plaza España 174,Sevilla,Galicia,59448,350,2023-11-07
RE/MAX,lista para construir,620514,4,2,0.86,Paseo de la Castellana 96,Alicante,Aragón,59334,254,2023-10-04
Compass,lista para la venta,1093569,5,1,0.56,Avenida de la Constitución 20,Zaragoza,Castilla y León,58887,477,2023-06-10
eXp Realty,lista para la venta,668856,4,4,1.43,Ronda de Valencia 142,Gijón,Canarias,92188,229,2024-06-09
Compass,lista para construir,879384,6,2,1.16,Avenida Diagonal 59,Valladolid,Canarias,48660,357,2023-12-10
Compass,lista para construir,1005879,3,3,1.33,Avenida Diagonal 85,Las Palmas,Asturias,47901,408,2025-04-13
Berkshire Hathaway,lista para construir,944555,1,1,1.88,Avenida de la Constitución 169,Valencia,Canarias,53011,268,2024-06-22
Sotheby's,lista para la venta,492944,1,1,1.14,Avenida de la Constitución 62,Córdoba,Asturias,31204,190,2024-10-01
Realty One,lista para la venta,887863,2,1,1.1,Plaza España 161,Sevilla,Extremadura,12920,367,2023-08-28
eXp Realty,lista para la venta,922007,6,1,1.54,Avenida de la Constitución 124,Valencia,Asturias,83702,252,2025-01-29
Compass,lista para construir,1319646,6,4,1.32,Calle Alcalá 148,Valencia,Aragón,24127,352,2024-05-10
Berkshire Hathaway,lista para la venta,1126181,5,2,0.1,Calle Alcalá 13,Murcia,Galicia,77462,491,2025-02-01
RE/MAX,lista para construir,933518,6,3,0.21,Plaza del Sol 130,Málaga,Aragón,53066,303,2024-07-07
RE/MAX,lista para construir,816187,1,2,1.35,Ronda de Valencia 55,Gijón,Valencia,50179,314,2024-04-25
Century 21,lista para la venta,796951,2,2,1.82,Calle Alcalá 36,Barcelona,Asturias,56643,150,2024-04-04
Berkshire Hathaway,lista para la venta,1410999,1,1,1.03,Calle Mayor 37,Bilbao,Castilla y León,22355,428,2023-10-08
Compass,lista para la venta,297529,2,2,0.43,Avenida de la Constitución 109,Zaragoza,País Vasco,59877,91,2023-07-07
RE/MAX,lista para construir,984054,2,2,1.61,Avenida de la Constitución 166,Valladolid,Aragón,24813,393,2025-03-21
Keller Williams,lista para construir,714790,2,1,1.66,Calle Serrano 123,Valencia,Extremadura,29178,185,2024-04-30
Coldwell Banker,lista para la venta,914458,2,2,1.32,Avenida de la Constitución 190,Vigo,País Vasco,15051,356,2024-12-28
Coldwell Banker,lista para la venta,1302252,3,3,0.45,Plaza del Sol 66,Madrid,Navarra,23756,266,2024-03-07
eXp Realty,lista para construir,678199,4,1,1.42,Avenida de la Constitución 129,Córdoba,Baleares,85307,219,2023-07-22
eXp Realty,lista para la venta,939849,1,2,1.04,Calle Alcalá 140,Las Palmas,Canarias,61982,399,2024-08-15
Keller Williams,lista para construir,1218956,3,4,0.88,Calle Serrano 160,Barcelona,Galicia,51295,249,2023-07-08
Sotheby's,lista para la venta,880785,6,1,1.13,Calle Alcalá 60,Alicante,País Vasco,82214,352,2023-09-13
Realty One,lista para la venta,879986,3,1,1.16,Avenida de la Constitución 6,Palma,Canarias,69817,375,2024-06-29
Century 21,lista para la venta,1021667,1,1,1.97,Avenida Diagonal 72,Palma,Madrid,28721,413,2023-12-30
Sotheby's,lista para construir,552841,6,2,0.51,Avenida de la Constitución 28,Alicante,Cataluña,20124,145,2025-04-27
Compass,lista para construir,345595,2,3,1.66,Avenida Diagonal 126,Alicante,Aragón,38015,106,2023-08-23
RE/MAX,lista para construir,1352578,6,4,1.36,Plaza del Sol 131,Bilbao,Andalucía,32501,368,2024-11-17
Berkshire Hathaway,lista para construir,344233,1,2,1.48,Calle Alcalá 30,Gijón,Aragón,63650,102,2024-07-30
Keller Williams,lista para la venta,286661,4,2,0.12,Paseo de la Castellana 157,Gijón,Castilla-La Mancha,89817,99,2024-12-06
Sotheby's,lista para la venta,577893,5,1,1.67,Plaza España 103,Valencia,País Vasco,78065,132,2023-11-06
Realty One,lista para construir,760286,6,4,1.89,Calle Serrano 9,Palma,Castilla-La Mancha,23855,256,2024-06-01
Coldwell Banker,lista para construir,784431,4,3,0.43,Plaza del Sol 196,Madrid,País Vasco,93101,141,2024-04-11
Coldwell Banker,lista para la venta,966882,5,2,0.6,Ronda de Valencia 20,Las Palmas,Galicia,13410,380,2024-04-06
Coldwell Banker,lista para la venta,847043,3,1,1.46,Calle Alcalá 183,Gijón,Baleares,65817,307,2025-01-23
Coldwell Banker,lista para construir,234302,2,1,0.22,Calle Alcalá 68,Vigo,Galicia,84816,87,2025-04-25
Coldwell Banker,lista para construir,1527902,6,4,1.01,Avenida Diagonal 91,Valencia,Andalucía,62919,475,2024-01-01
Coldwell Banker,lista para construir,386440,5,4,1.78,Avenida de la Constitución 137,Vigo,Andalucía,49541,91,2024-08-09
Compass,lista para la venta,1002917,4,1,0.67,Paseo de la Castellana 78,Vigo,Murcia,87085,393,2024-08-01
Berkshire Hathaway,lista para la venta,697153,2,1,1.22,Paseo de la Castellana 132,Palma,Madrid,14289,261,2024-10-31
Keller Williams,lista para construir,1224472,6,2,1.27,Avenida de la Constitución 33,Valladolid,Andalucía,53528,500,2025-03-26
Century 21,lista para construir,448913,2,2,1.66,Plaza del Sol 182,Málaga,Murcia,63010,100,2023-10-24
Coldwell Banker,lista para la venta,1375593,3,2,1.08,Calle Gran Vía 96,Málaga,Extremadura,90960,492,2023-10-26
Sotheby's,lista para construir,309905,5,1,1.12,Calle Gran Vía 159,Murcia,Andalucía,48160,64,2024-09-05
Berkshire Hathaway,lista para construir,885880,1,2,0.9,Calle Mayor 81,Córdoba,Galicia,44930,362,2023-09-19
Sotheby's,lista para construir,1774877,6,2,0.87,Calle Alcalá 100,Barcelona,Murcia,10229,383,2023-09-30
RE/MAX,lista para construir,410445,4,4,1.02,Ronda de Valencia 96,Vigo,Castilla-La Mancha,95944,111,2023-07-23
Realty One,lista para construir,257079,4,2,0.91,Avenida de la Constitución 69,Zaragoza,Valencia,84885,66,2023-06-02
Compass,lista para la venta,1983861,5,1,0.62,Calle Mayor 177,Barcelona,Castilla y León,30675,428,2024-04-11
Keller Williams,lista para construir,1146340,5,4,0.17,Ronda de Valencia 178,Zaragoza,Asturias,43165,452,2024-07-21
RE/MAX,lista para la venta,1173251,4,2,0.56,Plaza España 127,Alicante,Murcia,21417,488,2023-12-22
Compass,lista para la venta,1631643,3,3,1.86,Avenida Diagonal 180,Bilbao,Asturias,52091,436,2023-11-10
Century 21,lista para construir,540328,3,3,1.06,Calle Alcalá 42,Palma,Baleares,92065,172,2024-10-08
Sotheby's,lista para construir,508072,2,1,1.14,Calle Alcalá 31,Valladolid,Aragón,45414,165,2024-10-05
RE/MAX,lista para la venta,892574,4,2,0.62,Ronda de Valencia 183,Málaga,Murcia,66488,264,2024-04-14
RE/MAX,lista para construir,1244194,6,4,1.49,Calle Alcalá 99,Bilbao,Galicia,99162,326,2024-09-24
RE/MAX,lista para construir,1173913,2,2,1.52,Plaza del Sol 84,Sevilla,Canarias,94981,438,2025-03-09
Berkshire Hathaway,lista para la venta,1218085,3,1,1.98,Paseo de la Castellana 181,Sevilla,País Vasco,38203,466,2024-12-04
Berkshire Hathaway,lista para construir,590856,5,3,0.86,Paseo de la Castellana 72,Alicante,Andalucía,33476,190,2024-08-12
Century 21,lista para construir,1072525,4,4,0.76,Plaza del Sol 191,Valencia,Galicia,97148,308,2024-09-06
Century 21,lista para la venta,533788,1,2,0.94,Plaza España 142,Alicante,País Vasco,26852,211,2025-03-16
Century 21,lista para construir,765416,1,1,1.05,Calle Mayor 98,Murcia,Aragón,54429,313,2024-03-25
Century 21,lista para la venta,1274620,2,3,1.41,Avenida Diagonal 157,Málaga,Murcia,43860,416,2024-06-16
Sotheby's,lista para la venta,1032559,5,2,1.79,Avenida Diagonal 2,Las Palmas,Galicia,97242,398,2024-08-27
RE/MAX,lista para la venta,783382,4,1,0.19,Paseo de la Castellana 166,Sevilla,Madrid,97628,313,2025-02-26
Compass,lista para construir,542231,5,2,0.19,Calle Gran Vía 147,Málaga,Valencia,56219,143,2024-12-31
Century 21,lista para la venta,629784,4,2,1.85,Avenida Diagonal 55,Vigo,Castilla y León,64311,177,2023-07-21
